instrumen,tipe,waktu_wib,nilai,satuan,raw,suhu_raw,sumber,flag,kalibrasi_id,catatan
BR-01,BR,2026-08-29T02:00:00+07:00,101.103,kPa,,,telemetry,,,
BR-01,BR,2026-08-29T08:00:00+07:00,100.891,kPa,,,telemetry,,,
BR-01,BR,2026-08-29T14:00:00+07:00,101.113,kPa,,,telemetry,,,
BR-01,BR,2026-08-29T20:00:00+07:00,100.890,kPa,,,telemetry,,,
BR-01,BR,2026-08-30T02:00:00+07:00,101.110,kPa,,,telemetry,,,
BR-01,BR,2026-08-30T08:00:00+07:00,100.893,kPa,,,telemetry,,,
BR-01,BR,2026-08-30T14:00:00+07:00,101.105,kPa,,,telemetry,,,
BR-01,BR,2026-08-30T20:00:00+07:00,100.927,kPa,,,telemetry,,,
BR-01,BR,2026-08-31T02:00:00+07:00,101.112,kPa,,,telemetry,,,
BR-01,BR,2026-08-31T08:00:00+07:00,100.909,kPa,,,telemetry,,,
BR-01,BR,2026-08-31T14:00:00+07:00,101.105,kPa,,,telemetry,,,
BR-01,BR,2026-08-31T20:00:00+07:00,100.862,kPa,,,telemetry,,,
BR-01,BR,2026-09-01T02:00:00+07:00,101.113,kPa,,,telemetry,,,
BR-01,BR,2026-09-01T03:00:00+07:00,101.099,kPa,,,telemetry,,,
BR-01,BR,2026-09-01T04:00:00+07:00,101.014,kPa,,,telemetry,,,
BR-01,BR,2026-09-01T05:00:00+07:00,100.969,kPa,,,telemetry,,,
BR-01,BR,2026-09-01T06:00:00+07:00,100.884,kPa,,,telemetry,,,
BR-01,BR,2026-09-01T07:00:00+07:00,100.874,kPa,,,telemetry,,,
BR-01,BR,2026-09-01T08:00:00+07:00,100.917,kPa,,,telemetry,,,
BR-01,BR,2026-09-01T09:00:00+07:00,100.968,kPa,,,telemetry,,,
BR-01,BR,2026-09-01T10:00:00+07:00,100.993,kPa,,,telemetry,,,
BR-01,BR,2026-09-01T11:00:00+07:00,101.052,kPa,,,telemetry,,,
BR-01,BR,2026-09-01T12:00:00+07:00,101.098,kPa,,,telemetry,,,
BR-01,BR,2026-09-01T13:00:00+07:00,101.151,kPa,,,telemetry,,,
BR-01,BR,2026-09-01T14:00:00+07:00,101.077,kPa,,,telemetry,,,
BR-01,BR,2026-09-01T15:00:00+07:00,101.080,kPa,,,telemetry,,,
BR-01,BR,2026-09-01T16:00:00+07:00,101.007,kPa,,,telemetry,,,
BR-01,BR,2026-09-01T17:00:00+07:00,100.926,kPa,,,telemetry,,,
BR-01,BR,2026-09-01T18:00:00+07:00,100.897,kPa,,,telemetry,,,
BR-01,BR,2026-09-01T19:00:00+07:00,100.877,kPa,,,telemetry,,,
BR-01,BR,2026-09-01T20:00:00+07:00,100.905,kPa,,,telemetry,,,
BR-01,BR,2026-09-01T21:00:00+07:00,100.970,kPa,,,telemetry,,,
BR-01,BR,2026-09-01T22:00:00+07:00,100.984,kPa,,,telemetry,,,
BR-01,BR,2026-09-01T23:00:00+07:00,101.043,kPa,,,telemetry,,,
BR-01,BR,2026-09-02T00:00:00+07:00,101.082,kPa,,,telemetry,,,
BR-01,BR,2026-09-02T01:00:00+07:00,101.101,kPa,,,telemetry,,,
BR-01,BR,2026-09-02T02:00:00+07:00,101.105,kPa,,,telemetry,,,
BR-01,BR,2026-09-02T03:00:00+07:00,101.072,kPa,,,telemetry,,,
BR-01,BR,2026-09-02T04:00:00+07:00,101.014,kPa,,,telemetry,,,
BR-01,BR,2026-09-02T05:00:00+07:00,100.944,kPa,,,telemetry,,,
BR-01,BR,2026-09-02T06:00:00+07:00,100.883,kPa,,,telemetry,,,
BR-01,BR,2026-09-02T07:00:00+07:00,100.888,kPa,,,telemetry,,,
BR-01,BR,2026-09-02T08:00:00+07:00,100.910,kPa,,,telemetry,,,
BR-01,BR,2026-09-02T09:00:00+07:00,100.964,kPa,,,telemetry,,,
BR-01,BR,2026-09-02T10:00:00+07:00,100.974,kPa,,,telemetry,,,
BR-01,BR,2026-09-02T11:00:00+07:00,101.078,kPa,,,telemetry,,,
BR-01,BR,2026-09-02T12:00:00+07:00,101.145,kPa,,,telemetry,,,
BR-01,BR,2026-09-02T13:00:00+07:00,101.092,kPa,,,telemetry,,,
BR-01,BR,2026-09-02T14:00:00+07:00,101.072,kPa,,,telemetry,,,
BR-01,BR,2026-09-02T15:00:00+07:00,101.067,kPa,,,telemetry,,,
BR-01,BR,2026-09-02T16:00:00+07:00,100.985,kPa,,,telemetry,,,
BR-01,BR,2026-09-02T17:00:00+07:00,100.944,kPa,,,telemetry,,,
BR-01,BR,2026-09-02T18:00:00+07:00,100.900,kPa,,,telemetry,,,
BR-01,BR,2026-09-02T19:00:00+07:00,100.890,kPa,,,telemetry,,,
BR-01,BR,2026-09-02T20:00:00+07:00,100.883,kPa,,,telemetry,,,
BR-01,BR,2026-09-02T21:00:00+07:00,100.973,kPa,,,telemetry,,,
BR-01,BR,2026-09-02T22:00:00+07:00,100.975,kPa,,,telemetry,,,
BR-01,BR,2026-09-02T23:00:00+07:00,101.080,kPa,,,telemetry,,,
BR-01,BR,2026-09-03T00:00:00+07:00,101.088,kPa,,,telemetry,,,
BR-01,BR,2026-09-03T01:00:00+07:00,101.138,kPa,,,telemetry,,,
BR-01,BR,2026-09-03T02:00:00+07:00,101.107,kPa,,,telemetry,,,
BR-01,BR,2026-09-03T03:00:00+07:00,101.100,kPa,,,telemetry,,,
BR-01,BR,2026-09-03T04:00:00+07:00,100.987,kPa,,,telemetry,,,
BR-01,BR,2026-09-03T05:00:00+07:00,100.936,kPa,,,telemetry,,,
BR-01,BR,2026-09-03T06:00:00+07:00,100.931,kPa,,,telemetry,,,
BR-01,BR,2026-09-03T07:00:00+07:00,100.876,kPa,,,telemetry,,,
BR-01,BR,2026-09-03T08:00:00+07:00,100.886,kPa,,,telemetry,,,
BR-01,BR,2026-09-03T09:00:00+07:00,100.932,kPa,,,telemetry,,,
BR-01,BR,2026-09-03T10:00:00+07:00,101.019,kPa,,,telemetry,,,
BR-01,BR,2026-09-03T11:00:00+07:00,101.074,kPa,,,telemetry,,,
BR-01,BR,2026-09-03T12:00:00+07:00,101.053,kPa,,,telemetry,,,
BR-01,BR,2026-09-03T13:00:00+07:00,101.132,kPa,,,telemetry,,,
BR-01,BR,2026-09-03T14:00:00+07:00,101.095,kPa,,,telemetry,,,
BR-01,BR,2026-09-03T15:00:00+07:00,101.056,kPa,,,telemetry,,,
BR-01,BR,2026-09-03T16:00:00+07:00,101.015,kPa,,,telemetry,,,
BR-01,BR,2026-09-03T17:00:00+07:00,100.966,kPa,,,telemetry,,,
BR-01,BR,2026-09-03T18:00:00+07:00,100.885,kPa,,,telemetry,,,
BR-01,BR,2026-09-03T19:00:00+07:00,100.870,kPa,,,telemetry,,,
BR-01,BR,2026-09-03T20:00:00+07:00,100.937,kPa,,,telemetry,,,
BR-01,BR,2026-09-03T21:00:00+07:00,100.941,kPa,,,telemetry,,,
BR-01,BR,2026-09-03T22:00:00+07:00,101.008,kPa,,,telemetry,,,
BR-01,BR,2026-09-03T23:00:00+07:00,101.048,kPa,,,telemetry,,,
BR-01,BR,2026-09-04T00:00:00+07:00,101.121,kPa,,,telemetry,,,
BR-01,BR,2026-09-04T01:00:00+07:00,101.137,kPa,,,telemetry,,,
BR-01,BR,2026-09-04T02:00:00+07:00,101.118,kPa,,,telemetry,,,
BR-01,BR,2026-09-04T03:00:00+07:00,101.012,kPa,,,telemetry,,,
BR-01,BR,2026-09-04T04:00:00+07:00,101.027,kPa,,,telemetry,,,
BR-01,BR,2026-09-04T05:00:00+07:00,100.942,kPa,,,telemetry,,,
BR-01,BR,2026-09-04T06:00:00+07:00,100.877,kPa,,,telemetry,,,
BR-01,BR,2026-09-04T07:00:00+07:00,100.904,kPa,,,telemetry,,,
BR-01,BR,2026-09-04T08:00:00+07:00,100.897,kPa,,,telemetry,,,
BR-01,BR,2026-09-04T09:00:00+07:00,100.924,kPa,,,telemetry,,,
BR-01,BR,2026-09-04T10:00:00+07:00,101.030,kPa,,,telemetry,,,
BR-01,BR,2026-09-04T11:00:00+07:00,101.064,kPa,,,telemetry,,,
BR-01,BR,2026-09-04T12:00:00+07:00,101.083,kPa,,,telemetry,,,
BR-01,BR,2026-09-04T13:00:00+07:00,101.109,kPa,,,telemetry,,,
BR-01,BR,2026-09-04T14:00:00+07:00,101.137,kPa,,,telemetry,,,
BR-01,BR,2026-09-04T15:00:00+07:00,101.057,kPa,,,telemetry,,,
BR-01,BR,2026-09-04T16:00:00+07:00,101.003,kPa,,,telemetry,,,
BR-01,BR,2026-09-04T17:00:00+07:00,100.919,kPa,,,telemetry,,,
BR-01,BR,2026-09-04T18:00:00+07:00,100.933,kPa,,,telemetry,,,
BR-01,BR,2026-09-04T19:00:00+07:00,100.876,kPa,,,telemetry,,,
BR-01,BR,2026-09-04T20:00:00+07:00,100.903,kPa,,,telemetry,,,
BR-01,BR,2026-09-04T21:00:00+07:00,100.913,kPa,,,telemetry,,,
BR-01,BR,2026-09-04T22:00:00+07:00,100.996,kPa,,,telemetry,,,
BR-01,BR,2026-09-04T23:00:00+07:00,101.015,kPa,,,telemetry,,,
BR-01,BR,2026-09-05T00:00:00+07:00,101.156,kPa,,,telemetry,,,
BR-01,BR,2026-09-05T01:00:00+07:00,101.143,kPa,,,telemetry,,,
BR-01,BR,2026-09-05T02:00:00+07:00,101.084,kPa,,,telemetry,,,
BR-01,BR,2026-09-05T03:00:00+07:00,101.055,kPa,,,telemetry,,,
BR-01,BR,2026-09-05T04:00:00+07:00,100.992,kPa,,,telemetry,,,
BR-01,BR,2026-09-05T05:00:00+07:00,100.939,kPa,,,telemetry,,,
BR-01,BR,2026-09-05T06:00:00+07:00,100.881,kPa,,,telemetry,,,
BR-01,BR,2026-09-05T07:00:00+07:00,100.858,kPa,,,telemetry,,,
BR-01,BR,2026-09-05T08:00:00+07:00,100.905,kPa,,,telemetry,,,
BR-01,BR,2026-09-05T09:00:00+07:00,100.957,kPa,,,telemetry,,,
BR-01,BR,2026-09-05T10:00:00+07:00,100.998,kPa,,,telemetry,,,
BR-01,BR,2026-09-05T11:00:00+07:00,101.050,kPa,,,telemetry,,,
BR-01,BR,2026-09-05T12:00:00+07:00,101.135,kPa,,,telemetry,,,
BR-01,BR,2026-09-05T13:00:00+07:00,101.119,kPa,,,telemetry,,,
BR-01,BR,2026-09-05T14:00:00+07:00,101.131,kPa,,,telemetry,,,
BR-01,BR,2026-09-05T15:00:00+07:00,101.052,kPa,,,telemetry,,,
BR-01,BR,2026-09-05T16:00:00+07:00,101.021,kPa,,,telemetry,,,
BR-01,BR,2026-09-05T17:00:00+07:00,100.919,kPa,,,telemetry,,,
BR-01,BR,2026-09-05T18:00:00+07:00,100.904,kPa,,,telemetry,,,
BR-01,BR,2026-09-05T19:00:00+07:00,100.911,kPa,,,telemetry,,,
BR-01,BR,2026-09-05T20:00:00+07:00,100.905,kPa,,,telemetry,,,
BR-01,BR,2026-09-05T21:00:00+07:00,100.918,kPa,,,telemetry,,,
BR-01,BR,2026-09-05T22:00:00+07:00,100.998,kPa,,,telemetry,,,
BR-01,BR,2026-09-05T23:00:00+07:00,101.092,kPa,,,telemetry,,,
BR-01,BR,2026-09-06T00:00:00+07:00,101.091,kPa,,,telemetry,,,
BR-01,BR,2026-09-06T01:00:00+07:00,101.135,kPa,,,telemetry,,,
BR-01,BR,2026-09-06T02:00:00+07:00,101.119,kPa,,,telemetry,,,
BR-01,BR,2026-09-06T03:00:00+07:00,101.063,kPa,,,telemetry,,,
BR-01,BR,2026-09-06T04:00:00+07:00,101.002,kPa,,,telemetry,,,
BR-01,BR,2026-09-06T05:00:00+07:00,100.942,kPa,,,telemetry,,,
BR-01,BR,2026-09-06T06:00:00+07:00,100.928,kPa,,,telemetry,,,
BR-01,BR,2026-09-06T07:00:00+07:00,100.895,kPa,,,telemetry,,,
BR-01,BR,2026-09-06T08:00:00+07:00,100.919,kPa,,,telemetry,,,
BR-01,BR,2026-09-06T09:00:00+07:00,100.932,kPa,,,telemetry,,,
BR-01,BR,2026-09-06T10:00:00+07:00,101.014,kPa,,,telemetry,,,
BR-01,BR,2026-09-06T11:00:00+07:00,101.048,kPa,,,telemetry,,,
BR-01,BR,2026-09-06T12:00:00+07:00,101.105,kPa,,,telemetry,,,
BR-01,BR,2026-09-06T13:00:00+07:00,101.142,kPa,,,telemetry,,,
BR-01,BR,2026-09-06T14:00:00+07:00,101.143,kPa,,,telemetry,,,
BR-01,BR,2026-09-06T15:00:00+07:00,101.042,kPa,,,telemetry,,,
BR-01,BR,2026-09-06T16:00:00+07:00,101.024,kPa,,,telemetry,,,
BR-01,BR,2026-09-06T17:00:00+07:00,100.924,kPa,,,telemetry,,,
BR-01,BR,2026-09-06T18:00:00+07:00,100.927,kPa,,,telemetry,,,
BR-01,BR,2026-09-06T19:00:00+07:00,100.909,kPa,,,telemetry,,,
BR-01,BR,2026-09-06T20:00:00+07:00,100.896,kPa,,,telemetry,,,
BR-01,BR,2026-09-06T21:00:00+07:00,100.945,kPa,,,telemetry,,,
BR-01,BR,2026-09-06T22:00:00+07:00,100.998,kPa,,,telemetry,,,
BR-01,BR,2026-09-06T23:00:00+07:00,101.078,kPa,,,telemetry,,,
BR-01,BR,2026-09-07T00:00:00+07:00,101.134,kPa,,,telemetry,,,
BR-01,BR,2026-09-07T01:00:00+07:00,101.130,kPa,,,telemetry,,,
BR-01,BR,2026-09-07T02:00:00+07:00,101.101,kPa,,,telemetry,,,
BR-01,BR,2026-09-07T03:00:00+07:00,101.104,kPa,,,telemetry,,,
BR-01,BR,2026-09-07T04:00:00+07:00,101.019,kPa,,,telemetry,,,
BR-01,BR,2026-09-07T05:00:00+07:00,100.944,kPa,,,telemetry,,,
BR-01,BR,2026-09-07T06:00:00+07:00,100.880,kPa,,,telemetry,,,
BR-01,BR,2026-09-07T07:00:00+07:00,100.909,kPa,,,telemetry,,,
BR-01,BR,2026-09-07T08:00:00+07:00,100.872,kPa,,,telemetry,,,
BR-01,BR,2026-09-07T09:00:00+07:00,100.942,kPa,,,telemetry,,,
BR-01,BR,2026-09-07T10:00:00+07:00,100.989,kPa,,,telemetry,,,
BR-01,BR,2026-09-07T11:00:00+07:00,101.052,kPa,,,telemetry,,,
BR-01,BR,2026-09-07T12:00:00+07:00,101.133,kPa,,,telemetry,,,
BR-01,BR,2026-09-07T13:00:00+07:00,101.116,kPa,,,telemetry,,,
BR-01,BR,2026-09-07T14:00:00+07:00,101.078,kPa,,,telemetry,,,
BR-01,BR,2026-09-07T15:00:00+07:00,101.039,kPa,,,telemetry,,,
BR-01,BR,2026-09-07T16:00:00+07:00,101.018,kPa,,,telemetry,,,
BR-01,BR,2026-09-07T17:00:00+07:00,100.949,kPa,,,telemetry,,,
BR-01,BR,2026-09-07T18:00:00+07:00,100.913,kPa,,,telemetry,,,
BR-01,BR,2026-09-07T19:00:00+07:00,100.909,kPa,,,telemetry,,,
BR-01,BR,2026-09-07T20:00:00+07:00,100.912,kPa,,,telemetry,,,
BR-01,BR,2026-09-07T21:00:00+07:00,100.961,kPa,,,telemetry,,,
BR-01,BR,2026-09-07T22:00:00+07:00,100.974,kPa,,,telemetry,,,
BR-01,BR,2026-09-07T23:00:00+07:00,101.052,kPa,,,telemetry,,,
BR-01,BR,2026-09-08T00:00:00+07:00,101.083,kPa,,,telemetry,,,
BR-01,BR,2026-09-08T01:00:00+07:00,101.140,kPa,,,telemetry,,,
BR-01,BR,2026-09-08T02:00:00+07:00,101.100,kPa,,,telemetry,,,
BR-01,BR,2026-09-08T03:00:00+07:00,101.076,kPa,,,telemetry,,,
BR-01,BR,2026-09-08T04:00:00+07:00,101.007,kPa,,,telemetry,,,
BR-01,BR,2026-09-08T05:00:00+07:00,100.913,kPa,,,telemetry,,,
BR-01,BR,2026-09-08T06:00:00+07:00,100.918,kPa,,,telemetry,,,
BR-01,BR,2026-09-08T07:00:00+07:00,100.889,kPa,,,telemetry,,,
BR-01,BR,2026-09-08T08:00:00+07:00,100.918,kPa,,,telemetry,,,
BR-01,BR,2026-09-08T09:00:00+07:00,100.907,kPa,,,telemetry,,,
BR-01,BR,2026-09-08T10:00:00+07:00,101.007,kPa,,,telemetry,,,
BR-01,BR,2026-09-08T11:00:00+07:00,101.047,kPa,,,telemetry,,,
BR-01,BR,2026-09-08T12:00:00+07:00,101.084,kPa,,,telemetry,,,
BR-01,BR,2026-09-08T13:00:00+07:00,101.114,kPa,,,telemetry,,,
BR-01,BR,2026-09-08T14:00:00+07:00,101.116,kPa,,,telemetry,,,
BR-01,BR,2026-09-08T15:00:00+07:00,101.042,kPa,,,telemetry,,,
BR-01,BR,2026-09-08T16:00:00+07:00,101.034,kPa,,,telemetry,,,
BR-01,BR,2026-09-08T17:00:00+07:00,100.941,kPa,,,telemetry,,,
BR-01,BR,2026-09-08T18:00:00+07:00,100.896,kPa,,,telemetry,,,
BR-01,BR,2026-09-08T19:00:00+07:00,100.938,kPa,,,telemetry,,,
BR-01,BR,2026-09-08T20:00:00+07:00,100.899,kPa,,,telemetry,,,
BR-01,BR,2026-09-08T21:00:00+07:00,100.954,kPa,,,telemetry,,,
BR-01,BR,2026-09-08T22:00:00+07:00,101.011,kPa,,,telemetry,,,
BR-01,BR,2026-09-08T23:00:00+07:00,101.074,kPa,,,telemetry,,,
BR-01,BR,2026-09-09T00:00:00+07:00,101.147,kPa,,,telemetry,,,
BR-01,BR,2026-09-09T01:00:00+07:00,101.129,kPa,,,telemetry,,,
BR-01,BR,2026-09-09T02:00:00+07:00,101.120,kPa,,,telemetry,,,
BR-01,BR,2026-09-09T03:00:00+07:00,101.097,kPa,,,telemetry,,,
BR-01,BR,2026-09-09T04:00:00+07:00,100.939,kPa,,,telemetry,,,
BR-01,BR,2026-09-09T05:00:00+07:00,100.899,kPa,,,telemetry,,,
BR-01,BR,2026-09-09T06:00:00+07:00,100.908,kPa,,,telemetry,,,
BR-01,BR,2026-09-09T07:00:00+07:00,100.860,kPa,,,telemetry,,,
BR-01,BR,2026-09-09T08:00:00+07:00,100.903,kPa,,,telemetry,,,
BR-01,BR,2026-09-09T09:00:00+07:00,100.913,kPa,,,telemetry,,,
BR-01,BR,2026-09-09T10:00:00+07:00,101.012,kPa,,,telemetry,,,
BR-01,BR,2026-09-09T11:00:00+07:00,101.058,kPa,,,telemetry,,,
BR-01,BR,2026-09-09T12:00:00+07:00,101.081,kPa,,,telemetry,,,
BR-01,BR,2026-09-09T13:00:00+07:00,101.095,kPa,,,telemetry,,,
BR-01,BR,2026-09-09T14:00:00+07:00,101.127,kPa,,,telemetry,,,
BR-01,BR,2026-09-09T15:00:00+07:00,101.037,kPa,,,telemetry,,,
BR-01,BR,2026-09-09T16:00:00+07:00,100.980,kPa,,,telemetry,,,
BR-01,BR,2026-09-09T17:00:00+07:00,100.930,kPa,,,telemetry,,,
BR-01,BR,2026-09-09T18:00:00+07:00,100.903,kPa,,,telemetry,,,
BR-01,BR,2026-09-09T19:00:00+07:00,100.832,kPa,,,telemetry,,,
BR-01,BR,2026-09-09T20:00:00+07:00,100.931,kPa,,,telemetry,,,
BR-01,BR,2026-09-09T21:00:00+07:00,100.918,kPa,,,telemetry,,,
BR-01,BR,2026-09-09T22:00:00+07:00,101.038,kPa,,,telemetry,,,
BR-01,BR,2026-09-09T23:00:00+07:00,101.014,kPa,,,telemetry,,,
BR-01,BR,2026-09-10T00:00:00+07:00,101.100,kPa,,,telemetry,,,
BR-01,BR,2026-09-10T01:00:00+07:00,101.102,kPa,,,telemetry,,,
BR-01,BR,2026-09-10T02:00:00+07:00,101.088,kPa,,,telemetry,,,
BR-01,BR,2026-09-10T03:00:00+07:00,101.088,kPa,,,telemetry,,,
BR-01,BR,2026-09-10T04:00:00+07:00,101.006,kPa,,,telemetry,,,
BR-01,BR,2026-09-10T05:00:00+07:00,100.924,kPa,,,telemetry,,,
BR-01,BR,2026-09-10T06:00:00+07:00,100.895,kPa,,,telemetry,,,
BR-01,BR,2026-09-10T07:00:00+07:00,100.890,kPa,,,telemetry,,,
BR-01,BR,2026-09-10T08:00:00+07:00,100.921,kPa,,,telemetry,,,
BR-01,BR,2026-09-10T09:00:00+07:00,100.937,kPa,,,telemetry,,,
BR-01,BR,2026-09-10T10:00:00+07:00,101.007,kPa,,,telemetry,,,
BR-01,BR,2026-09-10T11:00:00+07:00,101.065,kPa,,,telemetry,,,
BR-01,BR,2026-09-10T12:00:00+07:00,101.056,kPa,,,telemetry,,,
BR-01,BR,2026-09-10T13:00:00+07:00,101.106,kPa,,,telemetry,,,
BR-01,BR,2026-09-10T14:00:00+07:00,101.105,kPa,,,telemetry,,,
BR-01,BR,2026-09-10T15:00:00+07:00,101.057,kPa,,,telemetry,,,
BR-01,BR,2026-09-10T16:00:00+07:00,101.010,kPa,,,telemetry,,,
BR-01,BR,2026-09-10T17:00:00+07:00,100.985,kPa,,,telemetry,,,
BR-01,BR,2026-09-10T18:00:00+07:00,100.917,kPa,,,telemetry,,,
BR-01,BR,2026-09-10T19:00:00+07:00,100.856,kPa,,,telemetry,,,
BR-01,BR,2026-09-10T20:00:00+07:00,100.856,kPa,,,telemetry,,,
BR-01,BR,2026-09-10T21:00:00+07:00,100.928,kPa,,,telemetry,,,
BR-01,BR,2026-09-10T22:00:00+07:00,100.977,kPa,,,telemetry,,,
BR-01,BR,2026-09-10T23:00:00+07:00,101.057,kPa,,,telemetry,,,
BR-01,BR,2026-09-11T00:00:00+07:00,101.102,kPa,,,telemetry,,,
BR-01,BR,2026-09-11T01:00:00+07:00,101.112,kPa,,,telemetry,,,
BR-01,BR,2026-09-11T02:00:00+07:00,101.105,kPa,,,telemetry,,,
BR-01,BR,2026-09-11T03:00:00+07:00,101.094,kPa,,,telemetry,,,
BR-01,BR,2026-09-11T04:00:00+07:00,101.016,kPa,,,telemetry,,,
BR-01,BR,2026-09-11T05:00:00+07:00,100.958,kPa,,,telemetry,,,
BR-01,BR,2026-09-11T06:00:00+07:00,100.912,kPa,,,telemetry,,,
BR-01,BR,2026-09-11T07:00:00+07:00,100.879,kPa,,,telemetry,,,
BR-01,BR,2026-09-11T08:00:00+07:00,100.856,kPa,,,telemetry,,,
BR-01,BR,2026-09-11T09:00:00+07:00,100.914,kPa,,,telemetry,,,
BR-01,BR,2026-09-11T10:00:00+07:00,101.010,kPa,,,telemetry,,,
BR-01,BR,2026-09-11T11:00:00+07:00,101.039,kPa,,,telemetry,,,
BR-01,BR,2026-09-11T12:00:00+07:00,101.135,kPa,,,telemetry,,,
BR-01,BR,2026-09-11T13:00:00+07:00,101.148,kPa,,,telemetry,,,
BR-01,BR,2026-09-11T14:00:00+07:00,101.125,kPa,,,telemetry,,,
BR-01,BR,2026-09-11T15:00:00+07:00,101.054,kPa,,,telemetry,,,
BR-01,BR,2026-09-11T16:00:00+07:00,101.027,kPa,,,telemetry,,,
BR-01,BR,2026-09-11T17:00:00+07:00,100.975,kPa,,,telemetry,,,
BR-01,BR,2026-09-11T18:00:00+07:00,100.856,kPa,,,telemetry,,,
BR-01,BR,2026-09-11T19:00:00+07:00,100.868,kPa,,,telemetry,,,
BR-01,BR,2026-09-11T20:00:00+07:00,100.907,kPa,,,telemetry,,,
BR-01,BR,2026-09-11T21:00:00+07:00,100.953,kPa,,,telemetry,,,
BR-01,BR,2026-09-11T22:00:00+07:00,101.008,kPa,,,telemetry,,,
BR-01,BR,2026-09-11T23:00:00+07:00,101.034,kPa,,,telemetry,,,
BR-01,BR,2026-09-12T00:00:00+07:00,101.131,kPa,,,telemetry,,,
BR-01,BR,2026-09-12T01:00:00+07:00,101.128,kPa,,,telemetry,,,
BR-01,BR,2026-09-12T02:00:00+07:00,101.136,kPa,,,telemetry,,,
BR-01,BR,2026-09-12T03:00:00+07:00,101.030,kPa,,,telemetry,,,
BR-01,BR,2026-09-12T04:00:00+07:00,101.018,kPa,,,telemetry,,,
BR-01,BR,2026-09-12T05:00:00+07:00,100.955,kPa,,,telemetry,,,
BR-01,BR,2026-09-12T06:00:00+07:00,100.932,kPa,,,telemetry,,,
BR-01,BR,2026-09-12T07:00:00+07:00,100.887,kPa,,,telemetry,,,
BR-01,BR,2026-09-12T08:00:00+07:00,100.900,kPa,,,telemetry,,,
BR-01,BR,2026-09-12T09:00:00+07:00,100.944,kPa,,,telemetry,,,
BR-01,BR,2026-09-12T10:00:00+07:00,100.996,kPa,,,telemetry,,,
BR-01,BR,2026-09-12T11:00:00+07:00,101.056,kPa,,,telemetry,,,
BR-01,BR,2026-09-12T12:00:00+07:00,101.056,kPa,,,telemetry,,,
BR-01,BR,2026-09-12T13:00:00+07:00,101.077,kPa,,,telemetry,,,
BR-01,BR,2026-09-12T14:00:00+07:00,101.106,kPa,,,telemetry,,,
BR-01,BR,2026-09-12T15:00:00+07:00,101.043,kPa,,,telemetry,,,
BR-01,BR,2026-09-12T16:00:00+07:00,101.025,kPa,,,telemetry,,,
BR-01,BR,2026-09-12T17:00:00+07:00,100.920,kPa,,,telemetry,,,
BR-01,BR,2026-09-12T18:00:00+07:00,100.920,kPa,,,telemetry,,,
BR-01,BR,2026-09-12T19:00:00+07:00,100.873,kPa,,,telemetry,,,
BR-01,BR,2026-09-12T20:00:00+07:00,100.911,kPa,,,telemetry,,,
BR-01,BR,2026-09-12T21:00:00+07:00,100.942,kPa,,,telemetry,,,
BR-01,BR,2026-09-12T22:00:00+07:00,101.006,kPa,,,telemetry,,,
BR-01,BR,2026-09-12T23:00:00+07:00,101.046,kPa,,,telemetry,,,
BR-01,BR,2026-09-13T00:00:00+07:00,101.091,kPa,,,telemetry,,,
